estacao_id;data;hora;temperatura_ar;temperatura_maxima;temperatura_minima;umidade;umidade_maxima;umidade_minima;pressao;velocidade_vento;radiacao;precipitacao;insolacao
A001;5/31/2014;00:00:00;18.9;19.1;15.6;56;72;54;888.10;1.70;-3.52;0.00;0.0
A001;5/31/2014;01:00:00;18.5;19.0;18.3;63;64;56;888.10;1.80;-3.54;0.00;0.0
A001;5/31/2014;02:00:00;16.0;18.5;16.0;76;76;63;888.00;1.70;-3.54;0.00;0.0
A003;5/31/2014;00:00:00;13.6;15.2;13.6;83;84;74;931.50;0.00;-3.54;0.00;0.0
A003;5/31/2014;01:00:00;13.0;13.6;12.5;83;89;82;931.50;0.00;-3.54;0.00;0.0
A003;5/31/2014;02:00:00;12.4;13.0;12.0;87;90;83;931.50;0.30;-3.54;0.00;0.0
A012;5/31/2014;00:00:00;18.0;18.7;17.9;61;61;57;904.90;2.00;-3.54;0.00;0.0
A012;5/31/2014;01:00:00;18.9;19.0;16.9;61;65;60;904.80;2.10;-3.54;0.00;0.0
A012;5/31/2014;02:00:00;18.2;19.1;17.4;65;67;61;904.70;2.50;-3.54;0.00;0.0
A016;5/31/2014;00:00:00;16.2;17.1;14.8;76;80;68;940.40;0.50;-3.54;0.00;0.0
A016;5/31/2014;01:00:00;13.8;16.9;13.8;90;90;72;940.50;0.10;-3.54;0.00;0.0
A016;5/31/2014;02:00:00;13.1;14.6;13.1;91;91;85;940.70;0.20;-3.54;0.00;0.0
A016;5/31/2014;03:00:00;12.1;13.2;12.0;94;95;90;940.20;0.10;-3.54;0.00;0.0
A017;5/31/2014;00:00:00;21.7;22.9;21.7;78;78;69;922.40;0.50;-2.48;0.00;0.0
A017;5/31/2014;01:00:00;22.6;22.7;21.6;67;79;67;922.30;2.30;-3.18;0.00;0.0
A017;5/31/2014;02:00:00;21.9;22.7;21.9;66;67;64;922.00;3.50;-3.54;0.00;0.0
A024;5/31/2014;00:00:00;17.2;17.3;16.5;79;80;78;877.70;0.00;-3.54;0.00;0.0
A024;5/31/2014;01:00:00;18.2;18.2;16.2;73;81;73;877.60;1.20;-3.54;0.00;0.0
A024;5/31/2014;02:00:00;17.8;18.9;17.5;73;75;70;877.40;1.40;-3.54;0.00;0.0
A026;5/31/2014;00:00:00;16.1;17.0;15.9;93;94;89;935.40;0.00;-3.54;0.00;0.0
A026;5/31/2014;01:00:00;15.0;16.3;15.0;95;95;89;935.30;0.00;-3.54;0.00;0.0
A026;5/31/2014;02:00:00;13.9;15.0;13.9;94;96;94;935.30;0.20;-3.54;0.00;0.0
A026;5/31/2014;03:00:00;13.4;14.4;13.3;96;96;94;935.10;0.30;-3.54;0.00;0.0
A027;5/31/2014;00:00:00;17.7;18.5;17.7;59;63;56;939.20;0.20;-3.54;0.00;0.0
A027;5/31/2014;01:00:00;17.1;17.9;17.1;61;61;57;939.10;0.10;-3.54;0.00;0.0
A027;5/31/2014;02:00:00;16.7;17.1;16.4;62;64;61;939.00;0.00;-3.54;0.00;0.0
